"Project Code","Station ID","Sample ID","First Trigger Date","Collection_Date","Sample Type New","Collection Method","Depth","Depth Unit","Matrix","Test Number","Test Name","Storet Code","Method","Measure Date","Value","Sigfig Value","Uncertainty","MDL","PQL","RDL","Units","Remark Code","Flag","Receive Date","LIMS Number","Source","Owner","Validation Level","Validator","Sampling Purpose","Data Investigation","T Depth","Upper Depth","Lower Depth","DCS(METERS)","Sample Type","QC Type","Discharge","Up/Down Stream","Weather Code","Program Type","NDEC","Sample Comments","Result Comments"
"ENP","S174","P12467-13","","14-AUG-2002 11:20","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","19-AUG-2002 10:08",".009","0.009","",".004","","0.0040","mg/L","I","","15-AUG-2002 08:19","L20302-11","WMD","WMD","","","","","","","","","0","","2","1","2","MON","3","",""
"ENP","S174","P12537-10","","28-AUG-2002 11:50","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","30-AUG-2002 14:20",".007","0.007","",".004","","0.0040","mg/L","I","","29-AUG-2002 08:29","L20400-10","WMD","WMD","","","","","","","","","0","","2","2","4","MON","3","gate closed, TPO4 only",""
"ENP","S174","P12744-10","","11-SEP-2002 11:18","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","17-SEP-2002 11:12",".005","0.005","",".002","","0.0020","mg/L","I","","12-SEP-2002 07:59","L20502-10","WMD","WMD","","","","","","","","","0","","2","1","2","MON","3","GATE CLOSED, TPO4 ONLY.",""
"ENP","S174","P12745-10","","25-SEP-2002 11:30","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","27-SEP-2002 13:12",".012","0.012","",".002","","0.0020","mg/L","","","26-SEP-2002 08:02","L20604-10","WMD","WMD","","","","","","","","","0","","2","1","2","MON","3","",""
"ENP","S174","P12468-17","","09-OCT-2002 12:35","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","11-OCT-2002 10:13",".01","0.010","",".002","","0.0020","mg/L","","","10-OCT-2002 08:00","L20708-11","WMD","WMD","","","","","","","","","0","","2","1","2","MON","3","",""
"ENP","S174","P13133-17","","23-OCT-2002 12:50","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","29-OCT-2002 09:48",".007","0.007","",".002","","0.0020","mg/L","I","","24-OCT-2002 08:08","L20815-11","WMD","WMD","","","","","","","","","0","","1","1","1","MON","3","",""
"ENP","S174","P12746-10","","06-NOV-2002 10:50","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","12-NOV-2002 10:54",".006","0.006","",".002","","0.0020","mg/L","I","","07-NOV-2002 07:50","L20912-10","WMD","WMD","","","","","","","","","0","","2","1","2","MON","3","",""
"ENP","S174","P13145-10","","20-NOV-2002 11:40","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","26-NOV-2002 12:31",".008","0.008","",".002","","0.0020","mg/L","","","21-NOV-2002 07:40","L21022-10","WMD","WMD","","","","","","","","","0","","2","1","2","MON","3","",""
"ENP","S174","P12747-10","","04-DEC-2002 10:33","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","11-DEC-2002 12:34",".005","0.005","",".002","","0.0020","mg/L","I","","05-DEC-2002 09:55","L21119-10","WMD","WMD","","","","","","","","","0","","2","1","4","MON","3","",""
"ENP","S174","P13711-11","","18-DEC-2002 11:40","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","07-JAN-2003 16:19",".009","0.009","",".002","","0.0020","mg/L","","","19-DEC-2002 07:14","L21234-11","WMD","WMD","","","","","","","","","0","","2","1","4","MON","3","",""
"ENP","S174","P13149-10","","30-DEC-2002 11:25","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","21-JAN-2003 12:28",".006","0.006","",".002","","0.0020","mg/L","I","","31-DEC-2002 07:37","L21295-9","WMD","WMD","","","","","","","","","0","","2","1","2","MON","3","",""
"ENP","S174","P13713-18","","15-JAN-2003 13:25","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","31-JAN-2003 11:29",".004","0.004","",".002","","0.0020","mg/L","I","","16-JAN-2003 07:43","L21418-13","WMD","WMD","","","","","","","","","0","","2","1","1","MON","3","",""
"ENP","S174","P13906-11","","29-JAN-2003 12:40","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","12-FEB-2003 08:08",".005","0.005","",".002","","0.0020","mg/L","I","","30-JAN-2003 08:21","L21510-8","WMD","WMD","","","","","","","","","0","","2","1","2","MON","3","",""
"ENP","S174","P14152-9","","12-FEB-2003 12:25","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","20-FEB-2003 15:23",".007","0.007","",".002","","0.0020","mg/L","I","","13-FEB-2003 07:44","L21603-9","WMD","WMD","","","","","","","","","0","","2","1","1","MON","3","",""
"ENP","S174","P14265-9","","26-FEB-2003 11:25","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","04-MAR-2003 08:34",".019","0.019","",".002","","0.0020","mg/L","","","27-FEB-2003 07:30","L21702-9","WMD","WMD","","","","","","","","","0","","2","1","2","MON","3","",""
"ENP","S174","P14278-9","","12-MAR-2003 11:50","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","18-MAR-2003 08:59",".007","0.007","",".002","","0.0020","mg/L","I","","13-MAR-2003 07:31","L21804-9","WMD","WMD","","","","","","","","","0","","2","1","2","MON","3","",""
"ENP","S174","P14279-9","","26-MAR-2003 11:08","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","03-APR-2003 10:58",".008","0.008","",".002","","0.0020","mg/L","","","27-MAR-2003 07:17","L21922-9","WMD","WMD","","","","","","","","","0","","2","1","3","MON","3","",""
"ENP","S174","P13905-18","","09-APR-2003 11:25","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","14-APR-2003 09:35",".007","0.007","",".002","","0.0020","mg/L","I","","10-APR-2003 07:46","L22021-12","WMD","WMD","","","","","","","","","0","","2","1","3","MON","3","",""
"ENP","S174","P14157-12","","22-APR-2003 11:15","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","24-APR-2003 12:20",".007","0.007","",".002","","0.0020","mg/L","I","","23-APR-2003 07:42","L22101-9","WMD","WMD","","","","","","","","","0","","2","1","2","MON","3","",""
"ENP","S174","P13910-9","","06-MAY-2003 11:32","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","08-MAY-2003 09:32",".006","0.006","",".002","","0.0020","mg/L","I","","07-MAY-2003 07:26","L22188-9","WMD","WMD","","","","","","","","","0","","2","1","3","MON","3","",""
"ENP","S174","P13909-11","","21-MAY-2003 12:05","SAMP","G","0.50","","SW","25","PHOSPHATE, TOTAL AS P","665","SM4500PF","28-MAY-2003 17:29",".008","0.008","",".002","","0.0020","mg/L","","","22-MAY-2003 09:12","L22292-11","WMD","WMD","","","","","","","","","0","","2","1","2","MON","3","",""
